SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117227719	6.75982046122405	6.89691036611587	6.50759160088537	6.63988799104016	6.42717669511481	6.84797807764114	6.55645302617798	6.13719916521788	6.80334804338767	6.6338254522437	6.36862781848093	6.3069197020417	6.27256794774629	6.4309209267335	6.22785095426378	6.81977096773938
gene-LOC117228250	8.43075885576705	8.24337866808829	8.19321569590996	8.40694112549394	8.109605121113	8.26285665418714	8.31223520082025	8.24348272214288	8.23060773697924	8.32426979987875	8.26064319750887	8.06123692406454	8.01044059760913	8.00905290335688	8.22770634188968	8.48837811172043
gene-LOC117228146	6.51274133147158	6.79117498398299	6.68302996629344	6.63988799104016	6.56991533183252	6.55529134129606	6.59370473672592	6.86075698114584	6.59411596951637	6.36540069409388	6.63323602926635	6.42877055697651	6.44645211069389	6.4667796514655	6.53028112086066	6.74170893761287
gene-LOC117227887	7.3218178143026	7.21875958198163	7.07520871547101	7.14808040945085	7.15489176983332	7.08538102270843	7.43423640188618	7.16840564366181	7.02375795715678	7.41199650787175	7.37271679976291	7.12535416434092	7.31148621495165	7.19211887814992	6.97151535040922	7.07918935832363
gene-LOC117229254	7.23942151263473	7.63824819458118	7.41075793779449	7.46047105322358	7.70997884366435	7.34711071235285	7.27174321185064	7.40792109609277	7.51029514675688	7.07445406191258	7.26566758967573	7.02766478429465	7.23727881569393	7.19211887814992	7.59206980832134	7.32680683180854
gene-LOC117229287	11.2360839530852	10.8654842224492	10.5263404675518	10.8871583309785	10.8081357954834	11.5540346023939	11.837613443336	10.746524971672	10.4659030781609	10.9037541652784	10.7888359429249	10.4902988623354	10.9040715919474	10.5169068961422	10.717255404479	11.3676275536922
gene-LOC117229475	7.98337516448321	8.00938840551061	7.72077079064944	7.63485408561555	7.63943411306812	7.40528370898477	7.60496900471561	7.59413886120105	7.98304339248307	7.50531240245633	8.05626783539079	7.37374125985557	7.55834713666223	7.2876283049837	7.7246240969762	8.02775080674339
gene-LOC117229623	8.78590504131051	8.73430573479097	8.81394403435849	8.73603073109196	9.22435612865163	8.94464484235605	8.93786482067123	8.89170318227426	9.07013434271768	9.37034270989532	8.90187480507136	9.27792382721714	9.2276180655371	9.20890420236151	9.03048502209929	8.94696251246988
gene-LOC117229598	7.10969628575632	7.04979360620767	7.01951485700455	6.98160565267275	7.18281127309683	7.2503097795955	7.03622826819778	7.22671705448258	7.48182285441926	7.04010345338288	7.22034082547499	6.98644866855318	7.39035872860366	7.07847404303427	7.1455099704419	7.05420342111466
gene-LOC117229650	10.6472133572957	10.651924545347	10.5822560269197	10.5241271530484	10.4388491799407	10.608353583101	10.696503911331	10.4722610664268	10.8340767133	9.95148963588609	10.496797002253	10.1913173736993	10.4976995580903	9.99163725937489	10.5273277515157	11.0175807112362
gene-LOC117229644	7.6206730118425	7.77676348148724	7.7608191080064	7.68839891292133	7.73476653824955	7.56623632153586	7.65475884030049	7.97277423533413	7.5923285738729	7.75236297297868	7.58217829554826	7.92641704151342	7.74138225303077	7.88336732784196	7.82100120100781	7.58778663342038
gene-LOC117229749	9.15755621662094	9.11752718788778	9.21723027758463	9.11073888113768	9.37142558729737	9.29996635734611	9.32979013432291	9.21663709348913	9.02266793922929	9.73336825706213	9.26447362591163	9.25749434407766	9.28880321077059	9.49211067898445	9.31963994365079	9.31398329762009
gene-LOC117229741	7.65526044686947	7.67277611436299	8.03476496458483	7.69494869442956	8.37843709613747	8.11472699915605	8.23357419137393	8.11760843188423	7.69462200395654	8.14958290950637	7.71666974531572	8.25242105013252	8.30845377986908	8.49060065296276	8.07052753842011	8.06439823969469
gene-LOC117229580	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	4.87531671728104	5.24390370603949	4.87531671728104	4.87531671728104
gene-LOC117217340	9.27308416668417	9.08853098756141	8.98465674449341	9.46510324678584	8.83931974786713	9.14279988762489	9.33478838904162	9.17733574514741	9.19951957563365	8.99604168756024	9.18133643494303	8.8511106506109	9.1417576334397	8.79419875633653	9.09012101681208	9.49976921921312
gene-LOC117229898	7.43334575891074	7.45128888685119	7.1799830377651	7.77739701051576	7.33908149614197	7.6089543539761	8.14455193134376	7.36742065079578	7.60553743546363	6.91857030006505	7.51894421735635	6.94387844550902	7.23727881569393	6.77597929890906	7.33508140682113	7.83573783193606
gene-LOC117230078	9.39846896702842	9.45087122464002	9.25219185958528	9.18575877046755	9.38879421792236	9.18948733865011	9.1428967387134	9.45820621459174	9.46020884902492	9.45976076745158	9.46049037904605	9.78251677548977	9.3346526453594	9.56924534994065	9.27791540985992	9.40399286262995
gene-LOC117217546	8.34979979472071	8.46044448597605	8.52379153264139	8.46860015262339	9.07248865236195	8.42466895327946	8.30712479644937	8.61680778839428	8.25561638114134	8.49605742189436	8.76747545541113	8.55803765626239	8.69556068124408	8.52896827939723	8.82593021501966	8.3074967599031
gene-LOC117217479	8.63222327441589	8.69353784799226	8.68651519827944	8.71714724783834	8.60438208053528	8.6322861868518	8.39640945161977	8.56099886823005	8.53249830547815	8.20528288739316	8.45351915565396	8.35661965127627	8.64082256319996	8.24960929019369	8.99835713664888	8.72277824506839
gene-LOC117217573	7.73812666748753	7.88332366305475	7.94542997652858	7.93996637636669	7.72242802353517	7.9817523582601	7.99313170022552	7.54990251935449	7.46736125939092	7.63808379578663	7.80961442159209	7.4862608978243	7.98851055532472	7.53929024955815	7.74444114598027	7.65405634495513
gene-LOC117229976	8.28589909092839	8.20503225305319	8.25007655603913	8.08067425604231	8.31890212813514	8.07513278634057	8.28649698049851	8.26521247869947	8.23060773697924	8.09159540956277	8.170864897464	8.21021181819687	8.25914970689536	8.2263787674958	8.06009730560467	8.20760385827475
gene-LOC117229920	7.72194484358061	7.76617685201505	8.37874672104863	7.93996637636669	7.74699640857294	7.2594036754532	7.14741576804825	7.42772726465599	8.19656025419759	6.82608983980267	7.92462565744456	6.70664250509725	8.43077756813144	6.70573981098971	7.96817208727384	8.17453558038971
gene-LOC117229933	7.40631151045174	6.57473910233013	5.69409770094447	6.53333689615065	6.20361396251737	5.54763417608674	6.25545606052349	7.06941766502315	5.7221340281775	5.62230031496836	6.08201115957489	5.78977461803651	5.9274691754537	6.23211674474652	6.1834273455094	5.82772741295978
gene-LOC117229913	13.9860839980676	13.411533255621	14.9820842534273	13.3351321315048	13.8461384367666	13.9817152299748	15.2619415098344	14.2690446403253	13.6859274382257	12.855933487895	14.0630930986753	13.1489024642474	13.9288335520002	12.5141639881031	13.8588354510214	15.1103530556315
gene-LOC117229879	6.6908185935808	6.57473910233013	6.43673658280715	6.26553658474297	7.12637139128869	6.64628907487386	6.73219422415146	7.06941766502315	6.59411596951637	7.60034499390383	7.20876483468521	6.97593683658974	7.2655895566555	7.54692932335052	6.59491160280209	6.65840176915086
gene-LOC117229870	8.58004177759623	8.58174930946454	8.74346274200549	8.52044356030651	8.94765880050315	8.97430441876656	9.18227247857445	8.67051544845513	8.3668208511248	8.53987622372136	8.76747545541113	8.6299775965639	8.89568475595744	8.80983139735139	8.44692683419933	8.56240543235778
gene-LOC117217388	8.16069192779245	8.11681997234311	8.43692315613291	8.22212131521474	8.79937683795349	8.32308782410337	8.48944877015844	8.11161148211146	8.05151785809795	8.33789963865612	8.4770545539766	8.57139049257921	8.52839091851016	8.59552924537907	8.38588824251448	8.12343519157485
gene-LOC117217417	8.0056935352664	8.09177364449731	8.14402014317411	8.17652807077906	8.01735510462271	8.05491053718976	7.87303051813988	7.87669665538514	8.22217236903995	7.96792708943548	7.98539559126095	8.17989772962228	7.97741580902429	8.18839798043791	8.0757138353502	7.99646466462406
gene-LOC117217375	9.96799020240555	9.8817279045287	10.0392050844457	10.0553045637223	10.0273105925135	10.1382390379866	9.93406344966878	9.90525039244833	9.83137191198063	9.79680115512397	9.93282895813084	9.80237381390794	10.0298665280071	9.82070127064919	9.83747432912237	10.0637749722808
