"","X","Novogene_ID","BORIS_ID","treatment","queenness","ovaries","elo","finalrole","sampletime","nest","age","size","antennation_rate","agnosticrole"
"18",19,"F54GR","054F-grn","Wr",NA,311.8055,1000,"queen","3","054",NA,NA,0,"queen"
"19",20,"F56YL","056F-yel","Wr",NA,281.8258333,1056.41686895498,"queen","3","056",NA,NA,1.03286401140282,"queen"
"20",21,"F58SL","058F-sil","Qc",NA,313.7658333,1050,"queen","12","058",NA,NA,1.05394500397864,"queen"
"21",22,"F65ORWH","065F-ora-whi","Qr12",NA,354.2058333,1332.33997834118,"queen","0","065",NA,NA,36.8843062261374,"queen"
"22",23,"F67YLBL","067F-yel-blu","Qr12",NA,351.16,1190.3306638557,"queen","0","067",NA,NA,6.99375224799179,"queen"
"23",24,"F69OR","069F-ora","Qr3",NA,322.7108333,1077.25230690981,"queen","0","069",NA,13.2850937,2.32596124224938,"queen"
"24",25,"F70SL","070F-sil","Wr",NA,332.3168333,1127.82983656597,"queen","3","070",NA,NA,1.99914258995586,"queen"
"25",26,"F71BL","071F-blu","Qr3",NA,332.32,1050,"queen","0","071",NA,NA,0.716501181430837,"queen"
"26",27,"F72RDWH","072F-red-whi","Wr",NA,323.816,1134.3724122265,"queen","3","072",NA,NA,5.03421025546939,"queen"
"27",28,"W01RDYL","001W-red-yel","Qc",NA,195.6291667,1050,"worker_ctrl","12","001",20,11.24941151,1.27589988155396,"worker_ctrl"
"28",29,"W03BLGR","003W-blu-grn","Qr12",0.020171569900691,124.1156667,1000,"worker_qr12","12","003",11,9.986007671,0,"worker_qr12"
"29",30,"W03GR","003W-grn","Qr12",0.002096128508382,66.76183333,923.105857863,"worker_qr12","12","003",23,10.42888767,0,"worker_qr12"
"30",31,"W03SL","003W-sil","Qr12",0.96853186716955,316.0946667,1076.894142137,"new_queen_12","12","003",25,9.487395068,0,"worker_qr12"
"31",32,"W04BLOR","004W-blu-ora","Qr12",0.001682091479843,66.43366667,876.472281705311,"worker_qr12","12","004",24,10.57785863,0,"worker_qr12"
"32",33,"W04GRSL","004W-grn-sil","Qr12",0.175289864867277,209.8983333,931.055292343858,"intermediate_queenness","12","004",24,11.38243507,0.829890823251697,"worker_qr12"
"33",34,"W04YLWH","004W-yel-whi","Qr12",0.984415995205864,302.3556667,1192.47242595083,"new_queen_12","12","004",24,10.72839014,7.32584469209253,"worker_qr12"
"34",35,"W05RDRD","005W-red-red","Qr12",0.626093079828914,270.3795,944.350677117903,"intermediate_queenness","12","005",23,10.36084603,0.665531934717973,"worker_qr12"
"35",36,"W08RDOR","008W-red-ora","Wr",NA,117.0051667,950,"worker_ctrl","3","008",9,10.27192986,0,"worker_ctrl"
"36",37,"W09RDOR","009W-red-ora","Wr",NA,52.903,978.77,"worker_ctrl","3","009",16,11.57505753,10.394765,"worker_ctrl"
"37",38,"W13YLSL","013W-yel-sil","Qc",NA,93.32966667,1000,"worker_ctrl","12","013",23,10.96779397,0,"worker_ctrl"
"38",39,"W14GRRD","014W-grn-red","Qr12",0.002535438785506,62.876,994.31128158875,"worker_qr12","12","014",16,NA,0.723800677356801,"worker_qr12"
"39",40,"W14SLBL","014W-sil-blu","Qr12",0.945192967096054,309.8395,1043.47476080881,"new_queen_12","12","014",25,11.39089534,0.82077472013862,"worker_qr12"
"40",41,"W14WHOR","014W-whi-ora","Qr12",0.003242076156658,69.438,1000,"worker_qr12","12","014",23,11.26834849,0,"worker_qr12"
