Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107066839	LOC107066839	25
gene-LOC107066866	LOC107066866	175
gene-LOC107066872	LOC107066872	337
gene-LOC107066880	LOC107066880	371
gene-LOC107066909	LOC107066909	71
gene-LOC107066913	LOC107066913	100
gene-LOC107068206	LOC107068206	67
gene-LOC107068199	LOC107068199	160
gene-LOC107067010	LOC107067010	123
gene-LOC107067018	LOC107067018	192
gene-LOC107067042	LOC107067042	51
gene-LOC107065712	LOC107065712	150
gene-LOC107068338	LOC107068338	1182
gene-LOC107065541	LOC107065541	362
gene-LOC107067532	LOC107067532	71
gene-LOC107067539	LOC107067539	85
gene-LOC107067548	LOC107067548	190
gene-LOC107067560	LOC107067560	138
gene-LOC107068069	LOC107068069	522
gene-LOC107067927	LOC107067927	246
gene-LOC107067965	LOC107067965	147
gene-LOC107066707	LOC107066707	134
gene-LOC107066688	LOC107066688	192
gene-LOC107066716	LOC107066716	53
gene-LOC107066692	LOC107066692	468
gene-LOC107065545	LOC107065545	76
gene-LOC107067510	LOC107067510	430
gene-LOC107066936	LOC107066936	67
gene-LOC107065552	LOC107065552	251
gene-LOC107065556	LOC107065556	17
gene-LOC107066942	LOC107066942	32
gene-LOC107066952	LOC107066952	64
gene-LOC107066964	LOC107066964	175
gene-LOC107066974	LOC107066974	65
gene-LOC107066979	LOC107066979	51
gene-LOC107066986	LOC107066986	252
gene-LOC107067004	LOC107067004	468
gene-LOC107068466	LOC107068466	302
gene-LOC107066105	LOC107066105	189
gene-LOC107066077	LOC107066077	482
gene-Trnaa-agc	Trnaa-agc	0
gene-LOC107066101	LOC107066101	30
gene-Trnaa-agc-2	Trnaa-agc	0
gene-LOC107066112	LOC107066112	825
gene-Trnai-aau	Trnai-aau	0
gene-Trnar-acg	Trnar-acg	0
gene-Trnai-aau-2	Trnai-aau	0
gene-Trnai-aau-3	Trnai-aau	0
gene-Trnai-aau-4	Trnai-aau	0
gene-Trnaq-uug	Trnaq-uug	0
gene-Trnai-aau-5	Trnai-aau	0
gene-Trnar-acg-2	Trnar-acg	0
gene-Trnas-aga	Trnas-aga	0
gene-Trnag-gcc	Trnag-gcc	0
gene-LOC107066127	LOC107066127	26
gene-LOC107066132	LOC107066132	171
gene-Trnae-cuc	Trnae-cuc	0
gene-LOC107068497	LOC107068497	227
gene-LOC107068505	LOC107068505	68
gene-LOC107065563	LOC107065563	0
gene-LOC107068305	LOC107068305	107
gene-LOC107065568	LOC107065568	295
gene-LOC107066378	LOC107066378	12
gene-LOC107066373	LOC107066373	19
gene-LOC107066369	LOC107066369	79
gene-LOC107066358	LOC107066358	60
gene-LOC107066351	LOC107066351	60
gene-LOC107066384	LOC107066384	0
gene-LOC107066391	LOC107066391	18
gene-Trnay-gua	Trnay-gua	0
gene-Trnar-ucg	Trnar-ucg	0
gene-LOC107067438	LOC107067438	174
gene-LOC107067456	LOC107067456	14
gene-LOC107067462	LOC107067462	412
gene-LOC107065579	LOC107065579	21
gene-LOC107066798	LOC107066798	102
gene-LOC107066793	LOC107066793	169
gene-LOC107066831	LOC107066831	2
gene-LOC107066804	LOC107066804	355
gene-LOC107068474	LOC107068474	96
gene-LOC107068483	LOC107068483	281
gene-LOC107065698	LOC107065698	458
gene-LOC107067221	LOC107067221	43
gene-LOC107067272	LOC107067272	227
gene-Trnap-agg	Trnap-agg	0
gene-Trnat-agu	Trnat-agu	0
gene-LOC107067260	LOC107067260	26
gene-LOC107067286	LOC107067286	13
gene-LOC107067238	LOC107067238	678
gene-LOC107068578	LOC107068578	108
gene-LOC107068583	LOC107068583	52
gene-LOC107068538	LOC107068538	159
gene-LOC107068026	LOC107068026	264
gene-LOC107068034	LOC107068034	1958
gene-LOC107068017	LOC107068017	252
gene-LOC107065738	LOC107065738	63
gene-LOC107065744	LOC107065744	229
gene-LOC107065754	LOC107065754	62
gene-LOC107065760	LOC107065760	405
gene-LOC107065832	LOC107065832	238
gene-LOC107065824	LOC107065824	19
gene-LOC107065873	LOC107065873	6
gene-LOC107065775	LOC107065775	328
gene-LOC107065767	LOC107065767	705
gene-LOC107065859	LOC107065859	303
gene-LOC107065880	LOC107065880	396
gene-LOC107065889	LOC107065889	66
gene-LOC107065885	LOC107065885	25
gene-LOC107065895	LOC107065895	947
gene-LOC107065903	LOC107065903	137
gene-LOC107065936	LOC107065936	52
gene-LOC107065941	LOC107065941	31
gene-LOC107065928	LOC107065928	115
gene-LOC107067151	LOC107067151	138
gene-LOC107067135	LOC107067135	118
gene-LOC107067163	LOC107067163	513
gene-LOC107067115	LOC107067115	1190
gene-LOC107067105	LOC107067105	31
gene-LOC107067096	LOC107067096	104
gene-LOC107067143	LOC107067143	125
gene-LOC107065588	LOC107065588	27
gene-LOC107067171	LOC107067171	298
gene-LOC107067176	LOC107067176	283
gene-LOC107067295	LOC107067295	2298
gene-LOC107067329	LOC107067329	3
gene-LOC107067806	LOC107067806	322
gene-LOC107067797	LOC107067797	372
gene-LOC107067783	LOC107067783	120
gene-LOC107067790	LOC107067790	19
gene-LOC107066166	LOC107066166	317
gene-LOC107066190	LOC107066190	563
gene-LOC107066158	LOC107066158	507
gene-LOC107066177	LOC107066177	296
gene-LOC107066186	LOC107066186	119
gene-LOC107066199	LOC107066199	282
gene-LOC107066212	LOC107066212	110
gene-LOC107066205	LOC107066205	871
gene-LOC107065702	LOC107065702	51
gene-LOC107068623	LOC107068623	91
gene-LOC107068632	LOC107068632	44
gene-LOC107068225	LOC107068225	75
gene-LOC107068240	LOC107068240	49
gene-LOC107068522	LOC107068522	77
gene-LOC107068075	LOC107068075	557
gene-LOC107068104	LOC107068104	12
gene-LOC107065599	LOC107065599	5
gene-LOC107068601	LOC107068601	54
gene-LOC107068383	LOC107068383	91
gene-LOC107068371	LOC107068371	176
gene-LOC107068042	LOC107068042	192
gene-LOC107068049	LOC107068049	103
gene-LOC107068743	LOC107068743	375
gene-LOC107068142	LOC107068142	185
gene-LOC107068149	LOC107068149	223
gene-LOC107068128	LOC107068128	70
gene-LOC107068590	LOC107068590	414
gene-LOC107068594	LOC107068594	61
gene-LOC107067583	LOC107067583	139
gene-LOC107067568	LOC107067568	733
gene-LOC107067593	LOC107067593	925
gene-LOC107067605	LOC107067605	180
gene-LOC107067973	LOC107067973	44
gene-LOC107067989	LOC107067989	120
gene-LOC107068003	LOC107068003	33
gene-LOC107068676	LOC107068676	86
gene-LOC107067719	LOC107067719	527
gene-LOC107067616	LOC107067616	505
gene-LOC107067845	LOC107067845	170
gene-LOC107067869	LOC107067869	347
gene-Trnad-guc	Trnad-guc	1
gene-LOC107065607	LOC107065607	56
gene-LOC107065617	LOC107065617	173
gene-LOC107067049	LOC107067049	1408
gene-LOC107067059	LOC107067059	15793
gene-LOC107067084	LOC107067084	37
gene-LOC107065625	LOC107065625	53
gene-LOC107067072	LOC107067072	174
gene-LOC107067065	LOC107067065	914
gene-LOC107068751	LOC107068751	2
gene-LOC107066399	LOC107066399	25492
gene-LOC107066421	LOC107066421	471
gene-LOC107066459	LOC107066459	213
gene-LOC107066506	LOC107066506	68
gene-LOC107066448	LOC107066448	60
gene-LOC107067678	LOC107067678	131
gene-LOC107067684	LOC107067684	1955
gene-LOC107065631	LOC107065631	227
gene-LOC107067666	LOC107067666	75
gene-LOC107067674	LOC107067674	477
gene-LOC107067663	LOC107067663	107
gene-LOC107068392	LOC107068392	76
gene-LOC107065636	LOC107065636	197
gene-LOC107067506	LOC107067506	3
gene-LOC107067491	LOC107067491	188
gene-LOC107067479	LOC107067479	335
gene-LOC107065642	LOC107065642	66
gene-LOC107068566	LOC107068566	188
gene-LOC107065645	LOC107065645	5
gene-LOC107068660	LOC107068660	6
gene-LOC107068656	LOC107068656	36
gene-LOC107068490	LOC107068490	133
gene-Trnas-gcu	Trnas-gcu	0
gene-LOC107065959	LOC107065959	898
gene-LOC107065980	LOC107065980	7
gene-LOC107065985	LOC107065985	76
gene-LOC107065996	LOC107065996	2195
gene-LOC107066068	LOC107066068	71
gene-LOC107066060	LOC107066060	376
gene-LOC107066022	LOC107066022	713
gene-LOC107066588	LOC107066588	749
gene-LOC107066593	LOC107066593	196
gene-LOC107066610	LOC107066610	52
gene-LOC107066599	LOC107066599	9
gene-LOC107066636	LOC107066636	78
gene-LOC107066644	LOC107066644	1689
gene-LOC107066617	LOC107066617	105
gene-LOC107066720	LOC107066720	489
gene-LOC107066751	LOC107066751	120
gene-LOC107066771	LOC107066771	478
gene-LOC107066785	LOC107066785	214
gene-LOC107065653	LOC107065653	69
gene-LOC107068724	LOC107068724	88
gene-LOC107068734	LOC107068734	9
gene-LOC107067356	LOC107067356	182
gene-LOC107067405	LOC107067405	68
gene-LOC107065661	LOC107065661	9
gene-LOC107067411	LOC107067411	47
gene-LOC107067372	LOC107067372	288
gene-LOC107067876	LOC107067876	89
gene-LOC107067884	LOC107067884	486
gene-LOC107067089	LOC107067089	304
gene-LOC107066533	LOC107066533	42
gene-LOC107066525	LOC107066525	120
gene-LOC107066538	LOC107066538	241
gene-LOC107066512	LOC107066512	320
gene-LOC107066549	LOC107066549	49
gene-LOC107066552	LOC107066552	829
gene-LOC107066566	LOC107066566	8
gene-LOC107066575	LOC107066575	493
gene-LOC107066581	LOC107066581	466
gene-LOC107068663	LOC107068663	99
gene-LOC107067691	LOC107067691	749
gene-LOC107068646	LOC107068646	74
gene-LOC107066664	LOC107066664	968
gene-LOC107066677	LOC107066677	117
gene-LOC107067427	LOC107067427	5
gene-LOC107067415	LOC107067415	79
gene-LOC107068694	LOC107068694	240
gene-LOC107068336	LOC107068336	674
gene-LOC107068428	LOC107068428	91
gene-LOC107068440	LOC107068440	199
gene-LOC107068449	LOC107068449	0
gene-LOC107068434	LOC107068434	1
gene-LOC107065668	LOC107065668	0
gene-LOC107067335	LOC107067335	74
gene-LOC107067341	LOC107067341	249
gene-LOC107065723	LOC107065723	2
gene-LOC107068637	LOC107068637	60
gene-LOC107068255	LOC107068255	741
gene-LOC107068262	LOC107068262	101
gene-LOC107068323	LOC107068323	390
gene-LOC107067811	LOC107067811	674
gene-LOC107068119	LOC107068119	97
gene-LOC107068112	LOC107068112	195
gene-LOC107068120	LOC107068120	112
gene-LOC107065677	LOC107065677	8
gene-LOC107068460	LOC107068460	162
gene-LOC107067728	LOC107067728	2106
gene-LOC107067736	LOC107067736	128
gene-LOC107067745	LOC107067745	353
gene-LOC107065685	LOC107065685	10
gene-LOC107071137	LOC107071137	43
gene-LOC107071127	LOC107071127	384
gene-LOC107071125	LOC107071125	17
gene-LOC107071163	LOC107071163	176
gene-LOC107071176	LOC107071176	60
gene-LOC107068856	LOC107068856	42
gene-LOC107071974	LOC107071974	5011
gene-LOC107071495	LOC107071495	832
gene-LOC107071505	LOC107071505	67
gene-LOC107071828	LOC107071828	206
gene-LOC107070779	LOC107070779	112
gene-LOC107070788	LOC107070788	657
gene-LOC107070812	LOC107070812	416
gene-LOC107070821	LOC107070821	33
gene-LOC107068860	LOC107068860	0
gene-LOC107069275	LOC107069275	1
gene-LOC107072102	LOC107072102	72
gene-LOC107071346	LOC107071346	117
gene-LOC107071355	LOC107071355	7
gene-LOC107071360	LOC107071360	192
gene-LOC107071367	LOC107071367	439
gene-LOC107070282	LOC107070282	135
gene-LOC107070288	LOC107070288	26
gene-LOC107070295	LOC107070295	129
gene-LOC107070314	LOC107070314	416
gene-LOC107070321	LOC107070321	89
gene-LOC107070327	LOC107070327	36
gene-LOC107070338	LOC107070338	166
gene-LOC107071979	LOC107071979	105
gene-LOC107069819	LOC107069819	628
gene-LOC107069964	LOC107069964	212
gene-LOC107068868	LOC107068868	11
gene-LOC107069890	LOC107069890	19
gene-LOC107069881	LOC107069881	54
gene-LOC107068879	LOC107068879	2
gene-LOC107069909	LOC107069909	11
gene-LOC107068888	LOC107068888	2
gene-LOC107068895	LOC107068895	1
gene-LOC107068903	LOC107068903	1
gene-LOC107069958	LOC107069958	1
