	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
OG0002877	658.646596332698	623.395407577199	432.462272416543	655.8190275018	625.870547926872	679.102390984202	709.487052534532	590.499149393253	641.404180581139	569.23898385864	647.003764436897	705.079816002214	759.96731063683	665.174824421376	692.987641771097	609.558466319927	645.701735988499	678.126162569099	661.398852668989
OG0002878	733.230182201313	990.688315842713	724.152368181366	1199.61202895347	758.493334570302	755.521105514907	857.621711854929	756.807287725043	1266.14851231601	931.958483702267	717.197569069202	793.078991805264	572.743575830935	615.460711983306	717.960169402488	562.060404009283	647.725879361504	663.765843832341	487.535197631341
OG0002879	808.864241110331	881.320700478292	915.653257140011	1039.74155427777	790.286468354686	892.602098590604	973.456332676894	984.165248988755	996.020963165887	796.72491295132	760.941534274842	874.559710141421	938.131832468246	813.322879486825	873.146591111846	796.032340576528	793.464202217842	877.575033912951	906.06265589207
OG0002880	349.807522454208	370.027098649624	286.617224534131	416.596784373919	335.190467612505	374.215354660668	449.972950116093	279.987118963646	324.867052502135	426.667157330509	342.830611030243	310.713139255213	344.250093030193	307.233214867272	407.587325983773	302.58024879373	353.21301858932	307.949057354908	354.000740927169
OG0002881	512.630843716677	472.103539656417	511.091776492278	516.953432710494	570.459657616946	521.538031127079	433.266033651386	561.02682108129	728.273392422369	528.354415957191	462.872189966648	456.292022682481	519.394877203449	548.843801316292	482.504908877945	526.876654149547	485.794409521128	472.294927342243	463.337678631256
OG0002882	390.775971029926	675.345024875299	494.604944992527	598.63907670538	604.069541903294	646.013875414206	732.876735585121	430.506509985455	404.596329123539	906.798749609068	640.899955338436	557.328113419316	694.539661376706	732.786017337151	799.120884204508	719.507684631602	649.750022734509	722.802709750122	761.773746298971
OG0002883	651.293285049877	932.358920981689	710.201972296961	945.219594797968	667.655809472062	764.974967106334	849.825150838066	716.809127873093	729.463381625674	870.107470723152	701.938046323049	710.511863891291	688.500186060386	724.83175934706	651.961346376669	638.585059954209	576.88086130634	631.854024417325	652.436808594883
OG0002884	646.040919847862	637.977756292456	705.129101066269	715.332853840932	603.161166652312	628.681795829923	679.414602898061	664.17997017316	577.144763602695	666.732953469789	623.605829559462	664.882661623043	599.921214754372	692.020445137934	712.608913481476	724.785247110562	663.919026345542	675.732776112973	630.031698409619
OG0002885	796.258564625495	1165.67650042579	899.16642564026	976.726914624567	1021.01378210421	951.688733537026	1157.23241378866	930.483508134823	1204.26907374418	1078.72359924593	807.737404029712	807.202316316865	934.1055155907	847.128475944712	916.84851446678	819.781371731849	790.427987158335	891.137557164333	869.318275188237
OG0002886	784.703361181061	843.953431895448	697.51979422023	892.70739508697	688.548440244657	750.794174719193	958.977005074148	732.597875183073	860.362193989171	797.773235205203	703.97264935587	756.141066159539	745.875201565419	603.529324998169	769.688976638941	589.327810150578	687.196675135096	839.280850614932	664.983670298631
OG0002888	2384.57380171487	2581.07572260033	3165.47164795217	2878.83548193406	2721.49225194326	2457.21619197184	2126.23356874164	2707.24387208458	3015.43264117367	2389.12641660008	2422.19491057272	2500.91484813112	2045.36897379343	2560.2767905606	2039.72038189253	2358.19083434881	2362.17531629648	2693.35755862739	2432.29876171224
OG0002889	852.984108807258	770.130291524464	829.414446218237	786.516057893618	1018.28865635127	953.264377135597	811.956140184732	993.638497374743	900.821826901525	945.586673002751	1010.18040579534	1041.866785125	898.875242912171	1032.06497421433	966.793569729562	1004.49605849546	960.45603049073	982.884037982506	932.948788114386
OG0002890	39.917975535315	33.7216814040298	27.9007917688092	47.8444486255762	30.8847585334015	50.4205951542795	32.3000384984324	50.5239913919361	27.3697516760041	38.7879233936827	29.5017439758963	30.419468178832	44.2894856530073	45.7369834430244	37.4587914470863	33.4245623667492	50.6035843251175	31.9118194150164	32.2633586667799
OG0002891	444.35009609048	557.774838358547	522.505736761336	364.084584662921	655.846931209291	688.55625257563	650.45594769257	579.973317853266	398.646383107016	621.655096552806	582.913768903054	501.921224950729	703.598874351184	579.666551027896	551.17935986427	584.929841418111	563.723929381809	508.195724184136	493.808628483215
OG0002892	886.599246100155	787.446830623831	825.609792795218	914.879212742725	809.362348625316	709.039619357056	982.366688124737	762.070203495036	1024.5807040452	834.464514091119	824.014228292275	850.658699429482	721.717300300142	685.060469396604	794.661504270332	831.216090436263	809.65734920188	808.166826685291	907.855064706891
OG0002893	2898.25511847195	3674.75187624454	4017.71401470852	3754.0388104507	2832.31403256312	3438.84215388172	4546.50886726211	3359.84542756375	3973.37394983381	3772.91179172605	2759.93901402092	3899.12397477958	2560.73753411933	3084.26353565786	3264.26611181752	3537.72604839646	3133.37394141128	2223.45601774127	2227.06795241523
OG0002894	644.990446807459	591.496519762577	705.129101066269	677.990845157555	611.336543911154	644.438231815635	581.400692971783	668.390302789154	681.863813493493	535.692671734374	619.536623493822	648.586517955812	566.704100514616	640.317768202341	622.529438811101	681.685153532385	601.170581782396	619.089296651318	573.570820742754
OG0002895	508.428951555065	555.040647974436	511.091776492278	434.100850944252	453.279250240216	496.327733549939	566.921365369038	534.712242231324	575.95477439939	479.083270024675	496.443140008185	548.636836796792	489.197500621854	490.18114863937	579.719391443003	517.20112293812	517.168631802701	595.155432090056	560.127754631596
OG0002896	132.359603090781	113.924599337938	105.262078036871	85.1864573089527	158.057293670937	120.536735290699	95.7863210643168	101.047982783872	140.418725989934	115.315447927165	140.38760926461	107.554548203728	98.6447634998799	135.22238583155	164.105181577712	137.21662445297	103.23131202324	115.680345379434	109.336937704088
OG0002897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0002898	54.6245981009574	47.3926333245824	57.0698013452915	82.8525817662417	43.6020120471551	64.6013875414206	67.9414602898061	32.6300777739587	60.6894493685308	54.5127572019324	61.038090984613	55.4068884685869	57.3750155050322	57.6683704281612	54.4044351969587	39.581718592203	55.6639427576292	57.4412749470295	62.7343085187388
OG0002899	594.567740868113	758.282133193319	613.817418913802	666.321467444	714.891322523147	709.039619357056	667.162864157276	569.44748631328	555.724957943213	947.683317510517	727.370584233304	599.698086954117	655.283071820631	699.974703128025	799.120884204508	744.136309533417	644.689664301997	729.982869118501	785.971265299056
OG0002900	1395.02819765522	1306.03160681013	1643.6102787444	1749.23971926192	1249.0159701008	1216.39685809699	1332.09813945259	1222.04904179245	1380.38747583325	1199.28065844251	1552.40211404199	1635.04641461222	1336.73720334531	1233.9042707129	1339.59773222675	1335.22330717698	1387.55028219472	1476.71944342988	1376.56996978261
OG0002901	293.081978272445	271.596244821645	281.544353303438	254.392434155503	233.452439502476	283.615847742822	331.910740432167	267.356121115662	292.737344012913	310.303387149461	311.294264021526	369.379256457246	295.93429049964	270.444771663101	340.696626971119	330.727248681519	276.295570415142	355.018990992058	280.511979519503
OG0002902	439.097730888465	473.014936451121	403.29326284006	470.275921856273	458.729501746111	431.726346008518	485.614371907466	458.926255143419	512.88534662425	392.07252295236	370.297751973319	422.613325770202	414.71063838725	401.690028499605	437.911109536176	363.272217301774	376.490667378874	451.552244722482	572.674616335344
OG0002903	1199.64021214026	1075.44821775014	1051.35256256104	1110.92475833045	1131.83556272407	1120.28259858415	853.166534131008	1212.57579340647	1204.26907374418	840.754447614419	1209.57150301175	1304.77790295633	942.158149345792	856.077016183565	881.173474993364	907.740746381189	1069.75977263298	1115.31808855482	1056.62499633704
OG0002904	4244.96155626863	2710.49406744823	3843.9681750573	2603.43816789416	3500.87821728616	3378.96769713601	2539.45130263538	4234.54202853664	3874.60484595953	2607.17744540781	3376.42373296551	3766.5820062861	3334.79695382757	3284.1142676589	2961.02827629349	3433.93398631024	3787.17225089179	3624.38489006049	3635.00507645721
