	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a012300	0	0	0	0	0	0	0.992994003679616	0	0	0	0	0	0	0	0	0	0	1.20550709738814	0
Lflavo2a012264	0	0	0	0	0	0	0	0	0	0	2.75089817082271	1.26944228715433	0	0	0	0	0	0	0
Lflavo2a012244	0	0	0	0	0	0.861012423398438	0	0	0	0	0	0	0	0	0	0	1.03044644582802	0	0
Lflavo2a012342	1.01465271453349	3.27187299222594	5.00694632985234	0	3.5841580629152	5.16607454039063	2.97898201103885	7.19972359289318	0.902315092647511	1.04038245504042	4.58483028470451	11.424980584389	4.74303506615503	0.883666904435282	4.62984913154338	2.28311714902674	1.03044644582802	0	3.23271077492991
Lflavo2a012250	0	0	0	0	0	0	1.98598800735923	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a012283	13.1904852889354	8.72499464593584	12.0166711916456	10.7507878143378	11.6485137044744	11.1931615041797	7.94395202943693	20.7992014905803	14.4370414823602	16.6461192806467	10.0866266263499	15.233307445852	13.0433464319263	25.6263402286232	6.17313217539117	4.56623429805349	16.4871431332483	3.61652129216441	14.0084133580296
Lflavo2a012241	23.3370124342703	26.1749839378075	15.020838989557	27.3656417092236	25.9851459561352	31.8574596657422	30.7828141140681	24.7990479310765	25.2648225941303	36.4133859264147	23.8411174804635	34.274941753167	21.3436577976976	49.4853466483758	29.3223778331081	15.9818200431872	37.0960720498086	31.3431845320915	20.4738349078895
Lflavo2a012239	0	0	0	0	0.896039515728801	0	0	0	0	1.04038245504042	0	0	0	0	0	0	0	0	0
Lflavo2a012260	16.2344434325359	16.3593649611297	11.0152819256751	11.7281321610958	3.5841580629152	20.6642981615625	18.8668860699127	11.1995700333894	9.92546601912262	19.767266645768	12.8375247971726	13.9638651586977	13.0433464319263	14.1386704709645	10.0313397850107	7.9909100215936	27.8220540373564	9.64405677910509	4.31028103323988
Lflavo2a012341	1778.68620857721	1729.73018855678	1951.70767937644	1854.0222257999	1595.84637751299	2211.94091571059	2401.05950089731	2034.32189963637	1819.06722677738	1635.48121932354	1368.11335695583	1536.02516745674	858.48934697406	2319.62562414261	2017.07093830906	1236.30793619798	1832.13378068221	1170.54739156388	1142.22447380857
Lflavo2a012322	3.04395814360048	5.4531216537099	0	6.8414104273059	0.896039515728801	5.16607454039063	0.992994003679616	4.79981572859545	7.21852074118009	4.16152982016169	2.75089817082271	5.07776914861733	5.92879383269378	0	6.17313217539117	2.28311714902674	2.06089289165603	1.20550709738814	2.15514051661994
Lflavo2a012308	784.32654833439	1446.16786256387	821.139198095783	922.613063339539	901.415752823174	821.40585192211	951.288255525072	1153.55571343911	860.808598385726	1225.57053203762	856.446297182803	1190.73686535076	1310.26343702533	881.015903721976	844.947466506666	977.174139783446	961.406533957539	1111.47754379186	878.219760522627
Lflavo2a012332	1594.01941453212	1176.7836528706	1386.9241333691	1504.13294966054	1525.05925577042	1362.98266623973	1269.04633670255	1264.7514444849	1203.68833359178	1281.7511846098	1669.79518968938	2069.19092806156	2160.45247263361	1441.26072113394	1378.15175815608	1998.86906397291	1680.65815314549	1788.97253252399	1756.43952104525
Lflavo2a012294	630.099335725299	699.090196005609	684.9502579238	603.021461949678	671.133597280872	685.365889025157	601.754366229847	742.371499356097	652.373811984151	675.208213321234	681.305780307091	761.665372292599	857.303588207521	644.19317333332	608.05351927603	740.871514859178	713.068940512987	693.166580998178	663.783279118942
Lflavo2a012314	663.582875304905	428.615361981598	716.994714434855	776.988755672599	610.202910211313	752.524858050235	790.423226928974	478.381634283347	508.905712253196	441.122160937139	463.067858755156	745.162622559593	373.514011459708	873.946568486494	841.089258897047	368.723419567819	773.86528081684	538.861672532497	512.923442955546
Lflavo2a012287	189.740057617763	326.096674891852	159.220893289304	211.106378899725	177.415824114303	162.731348022305	164.837004610816	222.391462091589	133.542633711832	91.5536560435571	166.887822363244	88.8609601008033	107.904047755027	189.10471754915	152.785021340931	134.703911792578	107.166430366114	198.908671069042	170.256100812975
Lflavo2a012301	3379.80819211107	4258.88801154743	1801.49928948087	2636.87504755305	3202.44522921473	2554.62386022317	2771.44626426981	2090.31974980332	2244.95995050701	2942.20158285431	2352.01793605342	2547.77067031875	3135.14617872847	2664.25571687237	2956.93031201237	1896.12879226671	2463.79745197479	3529.72478115246	2261.81997219263
Lflavo2a012348	4389.38764307189	4807.47204991065	3441.7749071405	2434.56476777414	4252.60354164889	2660.52838830117	2940.25524489534	1958.32481726694	3297.96166362665	2492.75636227685	3062.66663018262	5847.05117463285	5353.70083092249	2144.65957706443	1527.85021340931	2393.84833075454	2276.25619883409	2477.31708513262	2289.83679890869
Lflavo2a012290	663.582875304905	713.268312305255	638.886351689158	733.985604415248	586.905882802364	711.19626172711	730.843586708197	647.975123360386	687.564100597404	780.286841280316	638.208375630868	789.593102609995	675.882496927091	637.123838097838	685.989312990344	571.920845831199	839.813853349833	760.674978451914	521.544005022026
Lflavo2a012266	93.3480497370814	77.4343274826806	64.0889130221099	101.643812062831	103.044544308812	119.680726852383	70.5025742612527	86.3966831147181	62.2597413926783	62.4229473024253	70.6063863844495	95.2081715365749	138.733775685035	100.738027105622	57.1014726223683	99.3155959826633	73.1616976537891	66.3028903563475	62.4990749819783
Lflavo2a012315	102.479924167883	40.3531002374533	94.1305910012239	107.507878143378	84.2277144785073	84.379217493047	105.257364390039	59.9976966074432	55.9435357441457	81.1498314931529	176.974448989594	139.638651586977	128.061946786186	104.272694723363	125.777568073595	111.87274030231	154.566966874202	92.8240464988865	175.643952104525
Lflavo2a012324	64.9377737301436	91.6124437823263	82.1139198095783	90.8930242484927	60.0346475538296	64.5759317548829	93.3414363458839	66.3974509122371	77.599097967686	66.584477122587	68.7724542705677	101.555382972347	118.575876653876	45.9506790306346	61.7313217539117	79.909100215936	97.8924123536615	72.3304258432882	73.274777565078
Lflavo2a012273	1108.00076427057	1205.13988546989	1129.56709201469	1090.71629098191	1164.85137044744	1178.72600763246	923.484423422043	1274.35107594209	1251.5110335021	1027.89786557994	1244.32293926881	1178.04244247922	1292.47705552724	934.919584892528	1030.91307329033	1368.72873084153	877.940371845469	847.47148946386	1157.31045742491
Lflavo2a012326	22.3223597197369	20.7218622840976	22.0305638513503	29.3203304027396	29.5693040190504	24.9693602785547	20.8528740772719	12.7995086095879	17.1439867603027	23.9287964659297	26.5920156512862	12.6944228715433	18.9721402646201	31.8120085596701	23.1492456577169	19.4064957667273	22.6698218082163	18.082606460822	16.1635538746496
