Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0004455	1	0	0	1
OG0004457	1	0	0	1
OG0004458	1	0	0	1
OG0004468	1	0	0	1
OG0004471	1	0	0	1
OG0004472	0	1	0	1
OG0004478	1	0	0	1
OG0004515	1	0	0	1
OG0004530	1	0	0	1
OG0004535	0	1	0	1
OG0004538	0	1	0	1
OG0004542	0	1	0	1
OG0004546	0	0	1	1
OG0004555	1	0	0	1
OG0004560	0	1	0	1
OG0004568	0	1	0	1
OG0004570	0	0	1	1
OG0004573	0	1	0	1
OG0004597	1	0	0	1
OG0004600	1	0	0	1
OG0004602	0	0	1	1
OG0004610	0	0	1	1
OG0004631	1	0	0	1
OG0004641	0	1	0	1
OG0004643	1	0	0	1
OG0004660	0	0	1	1
OG0004661	1	0	0	1
OG0004662	0	1	0	1
OG0004664	0	1	0	1
OG0004669	0	1	0	1
OG0004682	0	1	0	1
OG0004690	0	1	0	1
OG0004697	1	0	0	1
OG0004703	1	0	0	1
OG0004705	1	0	0	1
OG0004714	0	1	0	1
OG0004723	1	0	0	1
OG0004727	1	0	0	1
OG0004732	1	0	0	1
OG0004742	0	0	1	1
OG0004765	1	0	0	1
OG0004767	1	0	0	1
OG0004782	1	0	0	1
OG0004786	1	0	0	1
OG0004787	1	0	0	1
OG0004800	1	0	0	1
OG0004802	1	0	0	1
OG0004814	1	0	0	1
OG0004818	0	1	0	1
OG0004829	0	1	0	1
OG0004831	0	1	0	1
OG0004833	0	1	0	1
OG0004849	0	1	0	1
OG0004856	1	0	0	1
OG0004864	1	0	0	1
OG0004865	0	1	0	1
OG0004875	1	0	0	1
OG0004884	1	0	0	1
OG0004900	1	0	0	1
OG0004917	0	0	1	1
OG0004926	0	0	1	1
OG0004927	0	0	1	1
OG0004940	0	1	0	1
OG0004941	0	0	1	1
OG0004943	0	1	0	1
OG0004955	1	0	0	1
OG0004961	0	0	1	1
OG0004962	1	0	0	1
OG0004966	1	0	0	1
OG0004970	0	1	0	1
OG0004974	0	0	1	1
OG0004978	1	0	0	1
OG0004984	1	0	0	1
OG0004992	0	0	1	1
OG0005006	0	1	0	1
OG0005011	0	1	0	1
OG0005013	1	0	0	1
OG0005014	1	0	0	1
OG0005020	1	0	0	1
OG0005035	0	1	0	1
OG0005038	1	0	0	1
OG0005040	1	0	0	1
OG0005041	0	1	0	1
OG0005047	1	0	0	1
OG0005052	0	1	0	1
OG0005053	1	0	0	1
OG0005063	0	0	1	1
OG0005064	1	0	0	1
OG0005075	0	0	1	1
OG0005076	1	0	0	1
OG0005082	0	0	1	1
OG0005086	1	0	0	1
OG0005092	1	0	0	1
OG0005096	0	1	0	1
OG0005097	1	0	0	1
OG0005105	1	0	0	1
OG0005106	0	1	0	1
OG0005111	0	0	1	1
OG0005135	0	1	0	1
OG0005138	0	0	1	1
OG0005142	0	0	1	1
OG0005154	1	0	0	1
OG0005155	1	0	0	1
OG0005164	0	0	1	1
OG0005168	1	0	0	1
OG0005178	1	0	0	1
OG0005183	1	0	0	1
OG0005196	1	0	0	1
OG0005198	0	0	1	1
OG0005203	1	0	0	1
OG0005217	1	0	0	1
OG0005220	0	0	1	1
OG0005230	1	0	0	1
OG0005231	0	1	0	1
OG0005237	0	0	1	1
OG0005242	0	0	1	1
OG0005246	0	0	1	1
OG0005248	0	1	0	1
OG0005255	1	0	0	1
OG0005266	0	0	1	1
OG0005274	0	0	1	1
OG0005275	1	0	0	1
OG0005277	0	0	1	1
OG0005278	1	0	0	1
OG0005286	0	1	0	1
OG0005309	1	0	0	1
OG0005311	1	0	0	1
OG0005312	0	1	0	1
OG0005314	1	0	0	1
OG0005320	0	0	1	1
OG0005327	0	0	1	1
