Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata	Tally
OG0001445	1	0	0	0	0	0	1
OG0001446	1	0	0	0	0	0	1
OG0001450	0	0	0	0	1	0	1
OG0001451	0	1	0	0	0	0	1
OG0001461	1	0	0	0	0	0	1
OG0001464	1	0	0	0	0	0	1
OG0001471	1	0	0	0	0	0	1
OG0001472	1	0	0	0	0	0	1
OG0001475	1	0	0	0	0	0	1
OG0001480	1	0	0	0	0	0	1
OG0001482	0	0	0	0	1	0	1
OG0001496	0	1	0	0	0	0	1
OG0001497	1	0	0	0	0	0	1
OG0001509	0	0	0	0	1	0	1
OG0001511	0	0	0	0	0	1	1
OG0001513	0	1	0	0	0	0	1
OG0001519	0	1	0	0	0	0	1
OG0001521	0	0	1	0	0	0	1
OG0001533	0	0	0	0	0	1	1
OG0001540	0	0	0	0	0	1	1
OG0001548	1	0	0	0	0	0	1
OG0001552	0	1	0	0	0	0	1
OG0001553	0	1	0	0	0	0	1
OG0001563	0	0	0	0	1	0	1
OG0001568	0	0	0	0	1	0	1
OG0001569	1	0	0	0	0	0	1
OG0001579	1	0	0	0	0	0	1
OG0001597	1	0	0	0	0	0	1
OG0001603	0	0	0	0	1	0	1
OG0001605	0	0	0	0	1	0	1
OG0001612	0	0	1	0	0	0	1
OG0001614	1	0	0	0	0	0	1
OG0001620	0	1	0	0	0	0	1
OG0001622	1	0	0	0	0	0	1
OG0001627	0	0	1	0	0	0	1
OG0001628	1	0	0	0	0	0	1
OG0001647	0	0	0	0	0	1	1
OG0001652	0	0	0	0	1	0	1
OG0001656	0	0	0	0	1	0	1
OG0001657	1	0	0	0	0	0	1
OG0001663	1	0	0	0	0	0	1
OG0001678	0	1	0	0	0	0	1
OG0001692	0	0	0	0	1	0	1
OG0001715	1	0	0	0	0	0	1
OG0001716	0	0	0	1	0	0	1
OG0001717	1	0	0	0	0	0	1
OG0001725	0	0	0	0	1	0	1
OG0001728	1	0	0	0	0	0	1
OG0001730	0	1	0	0	0	0	1
OG0001731	0	0	0	0	1	0	1
OG0001737	0	1	0	0	0	0	1
OG0001750	0	1	0	0	0	0	1
OG0001762	1	0	0	0	0	0	1
OG0001763	0	0	1	0	0	0	1
OG0001770	0	0	0	0	1	0	1
OG0001771	0	1	0	0	0	0	1
OG0001773	0	0	1	0	0	0	1
OG0001782	0	1	0	0	0	0	1
OG0001785	1	0	0	0	0	0	1
OG0001788	0	0	1	0	0	0	1
OG0001792	0	0	0	0	1	0	1
OG0001794	0	1	0	0	0	0	1
OG0001801	1	0	0	0	0	0	1
OG0001802	0	0	0	0	1	0	1
OG0001804	1	0	0	0	0	0	1
OG0001808	1	0	0	0	0	0	1
OG0001819	0	0	0	0	1	0	1
OG0001820	1	0	0	0	0	0	1
OG0001821	1	0	0	0	0	0	1
OG0001825	1	0	0	0	0	0	1
OG0001832	0	0	0	0	1	0	1
OG0001839	0	1	0	0	0	0	1
OG0001840	0	0	0	0	1	0	1
OG0001843	1	0	0	0	0	0	1
OG0001844	0	0	0	0	1	0	1
OG0001847	0	0	0	0	1	0	1
OG0001858	0	0	0	0	0	1	1
OG0001859	0	0	0	0	1	0	1
OG0001862	0	0	0	0	1	0	1
OG0001864	0	0	0	0	0	1	1
OG0001877	0	1	0	0	0	0	1
OG0001879	0	0	0	0	0	1	1
OG0001881	0	1	0	0	0	0	1
OG0001885	0	0	1	0	0	0	1
OG0001887	0	0	0	0	1	0	1
OG0001888	1	0	0	0	0	0	1
OG0001889	0	1	0	0	0	0	1
OG0001892	0	0	0	0	1	0	1
OG0001893	0	0	0	0	1	0	1
OG0001899	0	0	0	0	1	0	1
OG0001901	1	0	0	0	0	0	1
OG0001906	0	0	1	0	0	0	1
OG0001909	1	0	0	0	0	0	1
OG0001911	0	1	0	0	0	0	1
OG0001915	0	0	1	0	0	0	1
OG0001916	1	0	0	0	0	0	1
OG0001919	1	0	0	0	0	0	1
OG0001921	0	0	0	0	0	1	1
OG0001930	0	1	0	0	0	0	1
OG0001937	0	0	0	0	0	1	1
OG0001944	1	0	0	0	0	0	1
OG0001946	0	0	0	0	1	0	1
OG0001947	0	0	0	0	1	0	1
OG0001948	0	0	0	0	1	0	1
OG0001966	1	0	0	0	0	0	1
OG0001977	1	0	0	0	0	0	1
OG0001980	0	0	1	0	0	0	1
OG0001986	0	1	0	0	0	0	1
OG0001988	0	0	0	0	0	1	1
OG0001989	0	0	0	0	1	0	1
OG0001993	1	0	0	0	0	0	1
OG0002006	1	0	0	0	0	0	1
OG0002013	0	0	0	0	1	0	1
OG0002017	1	0	0	0	0	0	1
OG0002023	0	0	1	0	0	0	1
OG0002024	0	1	0	0	0	0	1
OG0002034	0	1	0	0	0	0	1
OG0002043	0	0	0	0	0	1	1
OG0002044	0	0	1	0	0	0	1
OG0002049	0	0	0	0	1	0	1
OG0002053	0	0	0	0	1	0	1
OG0002054	0	0	0	0	1	0	1
OG0002058	0	1	0	0	0	0	1
OG0002065	0	0	0	0	0	1	1
OG0002067	1	0	0	0	0	0	1
OG0002068	0	0	0	0	0	1	1
OG0002075	0	0	0	0	0	1	1
OG0002077	0	1	0	0	0	0	1
OG0002080	0	0	0	0	1	0	1
OG0002082	0	0	0	0	1	0	1
OG0002089	0	0	0	0	0	1	1
OG0002091	0	0	0	0	1	0	1
OG0002099	1	0	0	0	0	0	1
OG0002103	0	0	0	0	1	0	1
OG0002107	1	0	0	0	0	0	1
OG0002109	0	1	0	0	0	0	1
OG0002113	0	0	0	0	1	0	1
OG0002121	1	0	0	0	0	0	1
OG0002123	1	0	0	0	0	0	1
