Geneid	gene_name	PO_Q1_1Aligned.sortedByCoord.out.bam	PO_Q3_1Aligned.sortedByCoord.out.bam	PO_W1_1Aligned.sortedByCoord.out.bam	PO_Q4_1Aligned.sortedByCoord.out.bam	PO_W2_1Aligned.sortedByCoord.out.bam	PO_Q5_1Aligned.sortedByCoord.out.bam	PO_W5_1Aligned.sortedByCoord.out.bam	PO_W4_1Aligned.sortedByCoord.out.bam	PO_Q2_1Aligned.sortedByCoord.out.bam	PO_W3_1Aligned.sortedByCoord.out.bam
Polyb2a003985	NA	506	729	467	920	758	714	407	735	755	585
Polyb2a004049	NA	110311	145593	106991	119606	140244	123753	148147	167879	162205	166428
Polyb2a004067	NA	607273	800970	470351	791939	595993	783295	444187	772916	858415	563844
Polyb2a004033	NA	364	503	299	516	468	463	432	504	534	431
Polyb2a004016	NA	1176	1526	1101	1866	1476	1535	1104	1532	1983	1211
Polyb2a004040	NA	444	689	393	871	635	636	494	559	708	484
Polyb2a004004	NA	642	753	441	932	618	686	426	625	858	527
Polyb2a004034	NA	0	1	1	6	0	1	0	2	3	0
Polyb2a004030	NA	1	0	0	1	0	1	0	0	2	0
Polyb2a004059	NA	239	273	183	313	240	224	142	278	327	192
Polyb2a003989	NA	446	529	453	569	583	451	457	563	653	569
Polyb2a004019	NA	266	318	287	374	267	308	324	306	321	317
Polyb2a004008	NA	160	194	99	272	189	222	110	179	261	143
Polyb2a004026	NA	223	234	174	338	253	264	159	288	398	229
Polyb2a003994	NA	2369	2996	2893	3132	3001	2639	3252	3575	3557	3680
Polyb2a004044	NA	7907	9927	5395	10444	7275	8747	4400	7825	10823	6590
Polyb2a004020	NA	2848	3769	2048	4548	2945	3771	1634	3605	4296	2604
Polyb2a004036	NA	88	88	39	154	98	148	33	136	149	90
Polyb2a004022	NA	2525	4241	675	5937	943	3969	787	1185	3649	1105
Polyb2a004062	NA	88	111	62	120	97	80	46	104	164	82
Polyb2a004013	NA	2113	2967	958	3704	1157	2560	943	1381	2699	1221
Polyb2a003992	NA	245	212	211	192	245	195	249	306	316	219
Polyb2a004054	NA	4743	5144	8013	5423	8828	4494	9005	8566	5880	8117
Polyb2a003996	NA	1230	1399	1387	1529	1333	1249	1758	1819	1762	1774
Polyb2a004050	NA	16757	23445	11955	25867	15504	21167	13510	16696	22377	14603
Polyb2a001692	NA	57	44	16	50	54	33	6	36	72	29
Polyb2a001691	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a001689	NA	0	0	0	0	1	0	0	0	0	0
Polyb2a001690	NA	22	12	8	17	19	25	38	27	15	9
Polyb2a005979	NA	44	73	92	75	78	43	87	61	87	118
Polyb2a005992	NA	211	90	210	121	236	124	198	318	310	197
Polyb2a005990	NA	1926	2174	1812	2604	2469	2150	2018	2527	2709	2016
Polyb2a005980	NA	646	467	380	438	541	438	307	728	956	387
Polyb2a005986	NA	317	442	305	570	352	447	239	424	559	324
Polyb2a005988	NA	812	1041	650	1403	842	1066	619	994	1313	714
Polyb2a005991	NA	1314	1602	739	1816	1282	1444	551	1558	2095	1061
Polyb2a005987	NA	31	5	3	8	19	13	1	15	26	10
Polyb2a005982	NA	1	0	2	1	2	2	0	0	0	0
Polyb2a005981	NA	314	151	165	176	363	150	165	477	499	251
Polyb2a005985	NA	193	101	111	103	206	97	68	207	319	119
Polyb2a005983	NA	55	81	61	124	54	68	76	72	81	71
Polyb2a005989	NA	301	393	260	415	362	292	208	390	419	327
Polyb2a005984	NA	449	512	313	608	428	445	243	459	741	373
Polyb2a008188	NA	0	1	0	0	0	0	0	0	2	0
Polyb2a008186	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a008187	NA	13	14	13	13	14	9	22	17	12	23
Polyb2a008184	NA	1	0	0	0	1	0	1	1	5	4
Polyb2a008185	NA	266	250	158	245	242	232	108	257	347	186
Polyb2a008189	NA	107	108	48	129	105	100	20	109	171	66
Polyb2a009396	NA	4	1	28	11	4	4	41	8	3	26
Polyb2a009390	NA	2	0	0	2	0	1	2	0	0	1
Polyb2a009399	NA	186	231	285	237	275	196	278	312	277	313
Polyb2a009401	NA	421	543	297	611	532	489	204	552	668	312
Polyb2a009384	NA	698	891	664	1018	875	828	535	982	1061	663
Polyb2a009397	NA	89	86	85	121	72	109	72	92	107	76
Polyb2a009387	NA	166	254	199	266	215	260	191	261	287	205
Polyb2a009394	NA	111	139	71	175	154	160	50	170	229	101
Polyb2a009388	NA	66	97	78	96	81	90	54	123	136	88
Polyb2a009386	NA	172	262	146	298	123	272	158	187	225	159
Polyb2a009400	NA	291	487	246	724	326	519	319	358	507	320
Polyb2a009391	NA	467	550	401	733	652	583	328	593	710	368
Polyb2a009395	NA	1111	1399	1235	1367	1528	1270	1166	1669	1650	1308
Polyb2a009393	NA	595	355	282	398	549	381	214	724	930	406
Polyb2a009402	NA	375	405	368	488	448	369	341	530	484	454
Polyb2a009389	NA	328	421	240	507	279	408	244	369	446	313
Polyb2a009385	NA	2058	2440	1367	2970	1941	2374	1280	2239	2831	1558
Polyb2a009398	NA	127	67	201	38	251	37	135	130	98	347
Polyb2a009392	NA	107	96	94	103	180	109	52	147	202	89
Polyb2a005741	NA	0	0	0	0	0	0	2	0	0	0
Polyb2a005742	NA	0	1	0	0	1	0	2	0	3	3
Polyb2a002517	NA	373	286	237	326	502	321	125	372	464	270
Polyb2a002533	NA	618	736	329	857	625	665	187	748	950	399
Polyb2a002506	NA	672	755	414	821	730	679	361	744	986	504
Polyb2a002531	NA	330	311	183	326	380	278	139	420	411	215
Polyb2a002525	NA	468	597	571	634	674	492	582	776	637	598
Polyb2a002521	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a002534	NA	21	33	19	24	35	18	12	29	40	14
Polyb2a002530	NA	0	6	0	7	2	1	2	2	3	2
Polyb2a002526	NA	108	109	61	103	106	103	60	140	162	93
Polyb2a002524	NA	368	313	224	389	373	291	218	423	473	294
Polyb2a002514	NA	107	113	68	109	95	123	72	103	159	104
Polyb2a002532	NA	0	1	0	5	0	3	2	7	3	0
Polyb2a002513	NA	214	299	190	376	313	283	138	293	338	201
Polyb2a002511	NA	1350	1590	1272	1591	1786	1416	1116	1816	2092	1309
Polyb2a002505	NA	245	289	225	335	274	275	191	313	330	273
Polyb2a002515	NA	508	541	438	608	529	449	352	629	674	400
Polyb2a002509	NA	613	893	656	1005	767	845	584	923	1023	709
Polyb2a002508	NA	244	317	138	441	180	322	168	253	326	204
Polyb2a002507	NA	1597	2080	1005	2485	1629	1825	638	1936	2583	1077
