	F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
OG0001432	216.145901113276	241.452615869545	349.897686209077	322.163519393572	317.309430278611	201.228860023257	431.253593334296	346.994053092708	187.301777997086	213.760473165682	334.125639059626	179.329409331574	252.69106851009	370.713499454086	499.568070944643	181.762099380368	302.350132968515	266.467719773822	223.864762543514	310.897680398304	378.885338756508	462.444608762775	133.88976611785	340.709164624984
OG0001433	508.36549926642	347.4065063777	264.628502174932	355.839148598475	201.709712184545	388.761514914041	245.42066318556	243.220130672459	330.179416341017	304.044399720131	283.329511499886	338.833456827497	216.325933189449	197.365778582598	239.695827254538	288.10424051162	224.73188987809	292.821670081123	141.065466808242	220.182493199932	137.182622653218	164.225028906922	270.530691813464	259.235233953792
OG0001434	1602.37771383976	1885.77549356341	1937.66869925867	1782.56330591286	1782.35891877688	2038.62745625656	1696.73544918412	1986.83822300435	2039.90846677596	1845.50967515713	1887.35833955302	1854.57248444412	2019.66366934633	1666.64435247527	1696.43309390249	1976.00290612682	1895.32919174293	1954.09661167469	1599.76417068767	1694.52446766667	1571.53426223143	1377.5293469506	1450.77815067424	1604.48093014972
OG0001435	1783.50556393468	1463.99750634826	1899.44458227784	1451.41961873132	1427.30264177368	1151.53478536869	1130.14700454585	1897.11701924518	1502.01618124586	1424.62725283712	1415.51875466477	1471.58253989176	1261.59046381606	1171.66351095066	1454.31609667568	1241.41251278044	1340.26849987536	949.718283296442	980.302772964521	1180.17816355163	1183.31677227402	1107.0891252183	915.219086202836	1119.34070660762
OG0001436	214.938382112643	53.9957326628097	156.816890177737	31.4305872579094	12.9754785615789	47.4099408431758	201.992315379061	6.48587015126556	44.424139653155	54.4358968931239	69.9857757489758	18.0230562142286	11.1892724063508	34.4606914985488	37.1246062414436	12.0671933198584	27.0761313106132	81.9900676227144	40.8885411038382	27.3026291567915	40.1282501638666	133.177511004121	60.5255107108088	14.8134419402167
OG0001437	363.463219190481	235.339891417152	283.250507883538	319.918477446578	297.256417956171	217.032173637649	289.858972568953	339.427204582898	280.952666995629	253.591617233821	265.268666145311	254.125092620623	207.00153951749	228.693679944915	258.25813037526	228.522473494819	262.638473712948	212.783746925616	296.441923002827	259.815341975919	285.563826747516	370.119094999182	220.092766221123	270.345315408955
OG0001438	521.648208273381	393.251939770652	501.81404856876	761.069220030807	944.850757074973	437.225009998177	746.361605325632	565.351681518648	198.10764980461	544.358968931239	550.855783314519	690.283053004955	439.17894194927	582.698965339099	660.97940242918	150.839916498231	579.429210047123	353.338148564555	317.908407082342	319.704980126301	856.691480242548	790.077626631808	68.7789894441009	661.975686703433
OG0001439	2.41503800126565	0	3.92042225444344	0	3.53876688043061	0	6.05976946137184	0	6.00326211529122	10.6216384181705	9.0304226772872	7.20922248569144	4.66219683597951	2.08852675748781	5.6493966019588	3.77099791245576	7.2203016828302	1.95214446720749	6.13328116557573	3.52291989119891	3.73286048035968	5.7192796136739	0	5.55504072758126
OG0001440	121.959419063915	58.0708822977388	119.572878760525	69.5963003567995	86.1099940904782	71.6416883852434	73.7271951133574	130.798381383856	56.4306638837375	67.7129449158371	100.46345228482	74.7956832890486	52.2166045629706	85.6295970570002	83.9338923719594	61.0901661817834	89.3512333250237	57.5882617826208	68.488306348929	77.504237606376	97.0543724893518	127.458231390447	82.5347873329211	79.6222504286647
OG0001441	725.718919380329	818.086289212004	597.864393802624	699.330566488485	749.038989691146	723.79176353915	698.893411211553	828.029422644904	684.371881143199	659.869286728844	690.827334812471	738.044151972661	654.572435771524	757.090949589331	830.461300487944	634.281848875059	723.835243703727	581.739051227831	673.638714685735	569.832292401423	620.588054859797	532.710044016483	484.20408568647	541.616470939173
OG0001443	568.741449298061	626.554256370339	654.710516492054	660.042332416098	619.284204075357	660.578509081582	638.295716597834	661.558755429087	566.707943683491	666.5078107402	704.372968828402	672.259996790726	786.978825913342	755.002422831843	749.755634745676	663.695632592214	741.885997910803	599.308351432698	534.617674932685	689.611568702186	644.851647982135	680.594274027194	403.503404738725	629.571282459209
OG0001444	336.897801176559	80.4842052898484	28.4230613447149	8.98016778797412	134.473141456363	15.8033136143919	113.115696612274	3.24293507563278	132.071766536407	132.770480227132	114.009086300751	108.138337285372	248.02887167411	103.382074495647	287.312170042476	78.4367565790799	117.329902345991	218.640180327238	153.332029139393	199.925703825538	114.78545977106	384.008774060962	322.80272379098	181.464663767654
OG0001445	3559.76601386557	1202.16914230407	921.299229794207	1013.63643906758	903.565143469949	1010.35851708012	959.463498050542	549.137006140484	791.229946795383	670.490925147014	910.943887571346	638.016189983692	897.006671242459	829.14512272266	1156.51219008671	1238.39571445047	916.075776009081	1993.13950101884	538.706529043069	641.171420198201	1413.82090693623	1433.08806319772	1747.90338507275	791.593303680329
OG0001446	2181.98683414352	2408.41343424306	2326.77060801218	2350.55891850223	2517.24284094631	2295.69469105067	1852.26953202599	2253.83987756478	2194.79262935047	2408.45651132017	2302.75778270824	2309.65465385339	2003.812200104	2270.22858538925	2204.07173142136	1907.37074412013	2476.56347721076	1968.73769517875	2338.82455113955	2479.25487343123	3156.13353614411	2692.14661815078	1272.86983131216	2367.37319007088
OG0001449	775.227198406275	715.188760930046	954.622818956977	838.523167202084	738.422689049854	695.345799033245	753.431336363899	807.490833832563	681.970576297083	783.345833340076	658.092052607305	803.828307154595	813.087128194827	670.417089153587	671.471138975675	743.640788336277	688.63627299993	677.394130120998	476.351503859715	554.859882863828	606.589828058449	596.439159711707	436.517319671894	542.542311060436
OG0001450	368.293295193012	401.40223904051	408.704020025728	387.269735856384	294.897240035884	257.067234794109	269.659741031047	491.845153137639	408.221823839803	444.781108760891	427.816274336481	317.205789370423	508.179455121767	404.129927573891	379.316628988663	596.571869750502	638.094161220119	353.338148564555	539.728742570665	460.621775774257	424.612879640914	441.201570197701	606.172160300676	461.068380389244
OG0001451	141.279723074041	206.813843972649	202.881851667448	207.666380096902	322.027786119185	328.708923179352	262.59000999278	205.38588812341	188.502430420144	201.81112994524	257.367046302685	244.212411702797	300.245476237081	273.597005230903	266.328696949486	230.785072242293	264.443549133656	259.635214138596	270.886584812928	225.46687303673	338.757088592641	252.465342946462	136.640925695614	306.453080138233
OG0001452	412.971498216427	465.585845790642	439.087292497665	413.08771824681	451.782571734975	459.349649058325	445.393055410831	391.314165793022	433.435524724026	424.865536726821	483.127613234865	497.436351512709	524.030924364097	400.997137437659	444.6882182399	487.212930289285	467.514533963255	457.777877560155	440.574030393857	414.823817188671	447.010042523072	384.008774060962	353.065479146385	427.738136023757
OG0001453	2651.71172538969	2775.17690138667	2582.57816011461	2690.68277347175	2721.31173105114	2437.92451358019	2716.79664184838	2973.77146435526	2994.42714310726	2760.29828392206	2989.06990618206	2775.5506569912	2928.79205236233	2823.68817612352	2732.69384203322	2915.7355859108	2756.35016742043	2820.84875511482	3207.70604959611	2930.18861950469	3130.00351278159	3202.79658365738	3282.1333762725	2552.54121432359
OG0001455	130.412052068345	1370.26906474489	759.581811798416	71.841342303793	1474.48620017942	117.99807498746	1962.35534390758	32.4293507563278	2054.31629585266	2200.00685736357	2020.55707404301	2749.41722548057	3634.64865332963	1480.76547105886	2769.01139161724	1414.8784167534	2073.12912068262	2740.81083195931	1743.8962780787	2600.79560967759	1209.44679563654	2580.21214571174	3924.98766427669	2274.78917794453
OG0001456	249.956433130995	303.598647802213	340.096630572968	318.795956473081	350.33792116263	390.86862339596	334.297281952347	287.540243372773	310.968977572085	387.689802263224	321.708807878356	336.129998395363	365.516231940794	341.474124849257	357.52609923825	407.267774545222	370.040461245048	384.572460039875	343.463745272241	329.393009827098	371.419617795789	415.056291963763	367.738330227793	326.821562806031
OG0001459	805.415173422095	792.616603993697	481.231831732932	754.334094189826	654.671872879663	623.704110648001	660.514871289531	705.878868129402	702.381667489073	786.001242944619	636.644798748748	667.754232737169	700.261964764123	845.853336782562	742.492124828871	676.517025494564	772.572280062831	637.375168543244	799.370978580037	750.381936825367	725.108148309869	841.551143154874	824.430820136623	738.820416768307
OG0001460	92.9789630487276	130.404788317729	107.811611997194	126.844870005135	120.318073934641	135.908497083771	110.085811881588	104.854900778793	132.071766536407	122.148841808961	104.978663623464	109.039490096083	179.028358501613	138.887029372939	116.216158668867	141.789521508337	129.965430290944	145.434762806958	182.976221439676	119.779276300763	139.982268013488	122.555991721584	206.336968332303	137.024337947004
OG0001461	115.921824060751	76.4090556549194	94.0901341066425	81.9440310652639	55.4406811267462	46.3563866022163	114.12565818917	24.862502246518	60.0326211529122	77.0068785317363	57.5689445677059	86.5106698282972	46.6219683597951	43.859061907244	42.7740028434024	43.7435757844869	65.8852528558256	62.4686229506395	45.999608741818	48.440148503985	34.5289594433271	69.4483953088973	83.4518405255091	63.8829683671845
OG0001462	1147.14305060119	1460.94114412206	1148.68372055193	1508.66818837965	1700.96728052698	1502.36834760819	1421.0159386917	1298.25500861166	1186.24459398155	1639.71543080507	1387.29868379825	1722.10302126954	1362.29391547321	1336.6571247922	1346.97756123846	1360.57604681404	1185.03201369451	1525.60090112265	1530.25365081115	1217.16882240922	1308.36759836607	1264.77783456674	1137.14595880913	1398.01858310795
OG0001463	4776.94516650346	3540.2862453446	5509.17337305664	5329.72958216264	5420.21127185955	3976.11370538101	4527.65774922166	4581.18628351058	4309.14154635604	4252.63848167502	5571.7707918862	5602.46702419296	5716.78576027808	5250.55626832435	4396.84466963879	4498.80050955973	8241.97437095067	4901.834757158	5028.26834224451	3992.34896670116	5746.73870951373	4811.54823498937	3467.37812117527	5592.0743324318
OG0001464	708.813653371469	794.654178811162	988.926513683357	1004.65627127961	1540.54318194746	1054.60779520042	1236.19297011986	925.317474913887	637.546436643928	1071.45777543295	1088.16593261311	1194.92862700336	1073.23771164248	1199.85862217675	1077.42063765929	724.031599191507	1122.7569116801	860.895710038501	926.125456001936	835.812744186941	1674.18792544132	1236.18143649837	408.088670701665	1215.62807921903
OG0001465	414.179017217059	838.462037386649	535.137637731529	835.155604281594	874.075419466361	956.627250791191	635.265831867148	681.016365882884	552.300114606792	787.32894774689	596.007896700955	711.009567651318	722.640509576825	804.082801632806	623.854796187736	582.24207768317	740.080922490095	775.001353481372	731.904885758704	515.22703408784	781.101055515264	557.2212423608	280.618276931932	645.31056452069
OG0001467	420.216612220224	560.333074802742	401.843281080452	473.703850815635	557.945578147893	536.259108648366	627.186139251986	494.007109854727	548.698157337618	503.200120060829	565.530220165111	553.307825776818	693.734889193752	799.905748117831	664.207629058871	500.788522774125	694.051499262053	594.427990264679	539.728742570665	529.318713652636	577.660159335661	526.173724457999	414.508043049782	541.616470939173
OG0001469	60.3759500316413	30.5636222619678	35.2838002899909	37.0431921253933	44.8243804854544	61.1061459756488	36.3586167682311	64.8587015126556	40.8221823839803	46.469668079496	33.864085039827	30.6391955641886	51.2841651957747	40.7262717710123	31.4752096394848	44.497775366978	31.5888198623821	37.0907448769422	51.1106763797978	41.3943087215872	41.9946804040464	35.1327176268539	42.1844468590486	48.1436863057042
OG0001470	132.827090069611	101.878740873226	61.7466505074841	79.6989891182703	66.056981768038	65.3203629394866	108.065888727798	56.2108746443015	98.453498690776	92.9393361589921	90.304226772872	106.336031663949	121.217117735467	62.6558027246343	152.533708252888	150.085716915739	92.9613841664388	177.645146515881	98.1324986492117	147.962635430354	30.7960989629674	80.8869545362451	110.963436303149	206.46234704177
OG0001471	231.843648121503	262.847151452923	211.702801739946	259.302344877753	228.840258267846	217.032173637649	322.177743029603	233.49132544556	219.719393419659	240.314569211108	234.790989609467	243.311258892086	195.81226711114	280.90684888211	213.870014217012	211.930082680014	185.922768332878	230.353047130483	192.17614318804	226.34760300953	225.838059061761	265.537982063431	166.903681051018	282.381236985381
OG0001472	873.036237457534	640.817280092591	858.572473723112	788.009723394729	1008.54856092272	803.861885852069	737.271951133574	770.737569642058	654.355570566743	653.230762717487	859.018957176945	991.268091782572	681.613177420205	797.817221360343	789.301410959387	546.040497723595	802.356024504506	668.609480018564	547.906450791432	660.547479599795	800.698573037152	759.847148673818	341.143787642741	658.272326218379
OG0001473	3616.51940689532	3301.88999170125	5763.02071403185	4658.46204001158	4973.14705596515	2735.02680953076	5297.24847081589	3621.27750112327	3114.49238541309	3572.85362291211	4585.19711439258	3898.38705913764	3434.17418938251	4372.33076680073	3973.94698114931	2183.40779131189	4369.18505582262	2692.00722027912	2370.51317049502	3293.93009827098	5867.12346000533	4421.00314136992	2130.31456638195	4331.08008727086
OG0001474	617.042209323374	737.602083922155	884.055218376995	928.324845081825	844.585695462772	630.025436093758	687.783833865704	1002.06693837053	733.598630488587	788.656652549161	973.028043477696	684.876136140686	662.964390076287	764.400793240538	765.896767894129	536.990102733701	695.85657468276	672.513768952979	445.685098031837	623.556820742207	637.385927021416	545.782683133452	478.701766530942	759.188899436105
OG0001475	315.162459165168	247.565340321939	188.180268213285	224.504194699353	222.942313467128	160.140244625838	232.291162685921	154.579905271829	210.114174035193	180.567853108899	203.184510238962	165.812117170903	151.987616852932	241.224840489842	199.342994383404	156.87351315816	240.977568664458	112.24830686443	203.420491991595	235.154902737527	288.363472107786	303.121819524717	209.088127910067	184.242184131445
OG0001477	367.085776192379	676.47483939822	683.133577836769	611.773930555737	765.553235133155	807.022548574948	794.839761016607	639.939188258202	540.29359037621	655.88617232203	705.501771663062	779.497181265386	845.722506046684	807.215591769038	819.969563941449	723.277399609015	786.110345718138	785.738148051013	724.749391065533	703.703248266982	722.308502949599	625.852597724887	516.300947427051	851.77291156246
OG0001478	912.884364478417	1540.40656200318	1060.47421982695	1494.07541572419	1545.26153778803	1415.97689984952	1159.43589027581	1191.23815111578	935.308237562372	1639.71543080507	1268.77438615885	1175.1032651677	1207.50898051869	1703.19357073131	1259.81544223681	977.442658908534	1641.71609513352	1247.42031454558	1403.49917338925	1253.27875129401	1585.53248903278	1317.88543097943	712.550330640885	1191.55623606618
OG0001480	3559.76601386557	980.073487200433	5915.91718195514	1404.27373784445	2238.85984635243	1267.42575187423	3215.71766083466	1943.59908866258	1211.45829486577	1298.49529662135	2475.46461641135	2527.73363404556	929.642049094315	1013.97974076033	1028.99723821392	1988.07009944668	995.499094520214	1659.32279712636	2183.44809494496	3287.76498846138	3321.31261240003	4230.63283422906	2079.87664078961	2769.18780269926
OG0001481	924.959554484745	753.902682461872	829.169306814787	912.60955145287	1482.74332290043	1032.48315614027	955.423651742961	851.810946532877	540.29359037621	1003.74483051711	951.580789619139	1061.55801101806	941.763760867862	1071.41422659125	1007.20670846351	659.170435097267	930.516379374742	778.905642415787	734.971526341492	783.849675791757	1224.37823755798	969.826414490131	369.572436612969	1000.83317108589
OG0001482	2823.17942347955	2143.52870797267	2721.75315014736	2305.65807956236	2111.46423865693	2013.34215447353	2425.92770770253	2321.94151415307	2472.14333907692	2221.25013419991	2563.5112375149	2400.67108773525	2142.74566581618	1964.25941541728	2026.51926678837	2128.35122179003	2166.99304255941	2145.40676946103	2196.73687080371	2232.65048104731	2269.57917205869	2357.16024077846	2050.53093862679	2106.28627587456
OG0001483	271.691775142386	312.767734480803	290.111246828814	281.752764347688	298.436006916315	267.602777203703	311.068165683755	273.487524711698	283.353971841746	254.919322036093	343.156061736914	311.798872506155	262.947901549245	313.279013623171	294.57567995928	285.087442181656	314.985660913467	289.893453380312	240.22017898505	281.833591295913	302.361698909134	294.951420076611	244.853202420999	322.192362199713
OG0001484	374.330890196176	569.502161481333	506.714576386814	500.644354179557	470.655995097271	542.580434094123	542.34936679278	599.942988992065	608.73077849053	662.524696333386	562.143811661128	575.836646044603	659.234632607503	624.469500488855	529.429167269282	645.594842612427	527.984560556958	640.303385244055	533.595461405089	508.181194305442	484.338647326669	401.166612901983	574.992351752684	569.391674577079
OG0001485	502.327904263256	551.163988124152	491.03288736904	424.312927981777	436.447915253109	478.313625395596	385.805322374007	428.067429983527	486.264231338589	512.494053676728	465.066767880291	410.0245288737	479.273834738694	497.069368282098	498.76101428722	449.502951164727	490.0779767221	489.988261269079	456.929446835392	466.786885583855	433.945030841813	533.527083961294	547.480755975043	474.955982208198
OG0001486	355.010586186051	708.05724906892	547.87901005847	518.604689755506	592.153657992055	569.972844359069	485.791518486643	561.027768084471	714.388191719655	613.399618649348	556.499797487824	481.215600919903	660.167071974699	643.266241306245	576.238453399798	660.67883426225	768.962129221416	652.992324280904	687.949704072078	501.135354523045	565.528362774492	482.870607383039	575.909404945272	597.166878214985
OG0001487	298.257193156308	363.707104917416	344.017052827412	355.839148598475	377.468467245932	396.136394600758	384.795360797112	393.476122510111	410.623128685919	349.186362997356	389.43697795801	356.856513041726	332.880854088937	364.447919181623	311.523869765157	332.602015878598	322.205962596298	363.098870900592	333.241609996282	361.099288847888	321.026001310933	321.913738255359	257.691947117231	333.302443654876
