Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_013159	NA	413	350	223	161	280	178	387	206	301	348	421	393
Caust.v2_013160	NA	225	171	136	121	177	97	189	115	155	179	192	211
Caust.v2_013161	NA	7	4	4	2	5	2	5	3	5	7	21	8
Caust.v2_013162	NA	291	140	91	110	137	103	213	112	168	213	207	178
Caust.v2_013163	NA	39	53	49	41	45	40	30	20	22	48	54	49
Caust.v2_013164	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013165	NA	3	1	0	0	2	1	3	0	1	0	1	1
Caust.v2_013166	NA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_013167	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022550	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015781	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015782	NA	2901	3314	2150	1252	2692	1881	3473	1729	2722	2887	4036	3838
Caust.v2_015783	NA	9	4	5	1	3	5	6	7	9	6	14	10
Caust.v2_015784	NA	10	7	6	3	14	6	13	7	9	16	27	18
Caust.v2_015785	NA	1277	1039	686	633	1035	629	991	643	852	1107	1244	1052
Caust.v2_015786	NA	5	5	6	5	9	4	7	4	3	8	12	7
Caust.v2_015787	NA	38	33	33	13	23	16	56	16	29	30	55	49
Caust.v2_015788	NA	1	0	3	0	1	0	1	0	0	1	1	4
Caust.v2_015789	NA	3	1	1	2	3	0	3	0	6	1	6	6
Caust.v2_015790	NA	17	16	9	9	19	11	24	11	12	18	24	23
