,SRR3948522,SRR3948580,SRR3948532,SRR3948545,SRR3948559,SRR3948571,SRR3948576,SRR3948523,SRR3948530,SRR3948535,SRR3948538,SRR3948546,SRR3948551,SRR3948569
gene-LOC117223979,-0.421564528425683,6.13805836168818,6.52511373270557,7.03566554089489,6.46971501235822,6.87257157820907,1.06940728406782,7.11315241073774,6.67598324862212,6.99962577647021,1.66870928559206,6.87709787228846,1.22278274939249,6.20429644058164
gene-LOC117223975,7.33878138471622,2.11321961930634,2.90361321483593,3.08144283780603,3.50155323025663,2.56981243454503,7.4653675524021,2.06056098888214,1.21110056130131,2.86355199088279,7.59247593623282,1.97961174318594,7.61175069046688,3.39014874837506
gene-LOC117223973,6.0830517257812,1.57314808836849,1.05315865380937,-2.81332833899805,-2.81332833899805,1.11140866979995,5.87945998259573,-2.81332833899805,-2.81332833899805,-2.81332833899805,5.91101716378454,-2.81332833899805,5.96437357795587,1.21171002233744
gene-LOC117223977,5.89818906514936,3.06617894821268,4.04316068530486,3.74146279405283,3.28510826815532,4.25832804457282,6.03300117232247,3.32366113287055,4.0529477545737,2.4667825339403,5.96466058767217,3.23933072545355,5.92092715546303,4.37063894998327
gene-LOC117223976,2.50132321678917,10.1045822986916,10.0917780094034,10.3182589106224,10.4797862366918,10.6666665996541,2.92154864750019,10.9676709426645,11.0041575466214,10.9879459885382,2.74533457818026,10.7209041594295,2.90403888542696,11.5796798655718
gene-LOC117223974,8.91280915671964,8.89617016889873,9.51056877143111,9.84291104698918,9.31300625841729,9.00313295628973,8.79333389831122,9.47276912496877,9.92939753030313,9.66818309531273,9.19501798474008,9.24060447248822,8.65040681816929,9.62550845166376
gene-LOC117223978,7.72973364604347,7.07867866127667,7.37426504378329,7.94109655832567,7.81941400389046,7.2030594964808,7.85304851899789,7.38915327340685,8.48868432857365,7.87443064352567,8.46004801564841,7.14329535807456,7.73950861219725,8.94849320884109
gene-LOC117223952,0.112538333817041,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.495674897360243,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-0.186168438801056,-2.81332833899805
gene-LOC117223931,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117223930,2.01076738909101,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,1.47758843361737,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.21159260097763,-2.81332833899805,2.90403888542696,-2.81332833899805
gene-LOC117223929,0.497370538087247,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.495674897360243,-2.81332833899805,-2.81332833899805,-2.81332833899805,-0.179039481677806,-2.81332833899805,0.376281444127911,-2.81332833899805
gene-LOC117223960,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.09119353283647,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.16862411898254,-2.81332833899805
gene-LOC117224016,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.01804123368465,-2.81332833899805,-2.81332833899805,1.21110056130131,-2.81332833899805,-2.81332833899805,1.0753014010907,-2.81332833899805,-2.81332833899805
gene-LOC117224034,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224035,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224017,-1.33439576041047,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.09119353283647,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.13085702795341,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224025,2.27683224624648,4.69559662449837,4.04316068530486,4.05729809464292,3.50155323025663,3.75283704674338,2.68623502408497,4.15352244382941,4.62970174739072,2.4667825339403,2.70002502958331,4.35319023274165,2.73587182527399,4.37063894998327
gene-LOC117224026,5.44280482358244,4.8384849017764,4.9490108426271,4.43015133244464,5.47432811400609,4.63191369755162,5.3526511900386,1.15141959652673,4.74390990339464,4.0022470273707,5.17527246942452,3.90120956257672,5.14043954851011,4.37063894998327
gene-LOC117224027,7.23172569438282,7.59378117734046,7.27714029710862,7.50728008564579,7.56678129918795,7.58942751430435,6.89267861992163,7.00802378094117,7.29750682782305,7.66659369121916,6.73312259640426,7.56227681239282,6.83672267183225,7.24096729292047
gene-LOC117224024,6.58008969102841,8.18139133375423,7.95840316751963,7.35696837332854,7.4282933372051,7.65836962942614,6.56815096280053,8.10148500571603,7.61516667328558,7.94780600865119,6.46860984034006,7.97326961565972,6.39668851160041,7.44055394623983
gene-LOC117224031,-1.33439576041047,2.81273567612173,1.95601702562275,0.933898857839293,1.77981646553029,1.11140866979995,-2.81332833899805,2.06056098888214,2.6779416765196,3.42989734175744,-1.16352879469648,2.53050328000024,-0.586941401427702,3.07783030898207
gene-LOC117224022,8.54573377949903,0.696837768682942,-2.81332833899805,0.933898857839293,2.32575325514523,-2.81332833899805,8.16175950362067,1.15141959652673,-2.81332833899805,-2.81332833899805,8.86264305310959,-2.81332833899805,9.31248970375499,1.21171002233744
gene-LOC117224029,-1.33439576041047,2.11321961930634,1.95601702562275,-2.81332833899805,0.888455334994212,1.11140866979995,1.21876864550986,1.15141959652673,2.12386181828631,1.91736459821469,0.384209881726455,-2.81332833899805,0.590679210094285,-2.81332833899805
gene-LOC117224030,-2.81332833899805,-2.81332833899805,1.05315865380937,-2.81332833899805,-2.81332833899805,1.11140866979995,-2.81332833899805,-2.81332833899805,2.12386181828631,-2.81332833899805,-1.16352879469648,-2.81332833899805,-1.16862411898254,-2.81332833899805
gene-LOC117224032,6.37995817798625,3.63494290346397,2.50635718287939,3.553146362999,3.03033959301314,3.53545370844976,6.83623310280601,2.61327951739328,3.38947795709039,3.17435263493896,6.36360736006389,2.53050328000024,6.69202666818634,2.12450750571176
gene-LOC117224018,0.656449219997939,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.495674897360243,-2.81332833899805,-2.81332833899805,-2.81332833899805,-0.179039481677806,-2.81332833899805,0.12325886686241,-2.81332833899805
gene-LOC117224019,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224020,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224021,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224036,-0.128695296956924,-2.81332833899805,1.05315865380937,-2.81332833899805,-2.81332833899805,2.56981243454503,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.590679210094285,-2.81332833899805
gene-LOC117224037,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224038,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224039,8.13315856487265,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,7.56772325350562,-2.81332833899805,-2.81332833899805,-2.81332833899805,7.2730132661329,-2.81332833899805,7.48157292158137,-2.81332833899805
gene-LOC117224042,4.95897393246982,2.50501966971946,1.05315865380937,3.33649557452739,1.77981646553029,1.11140866979995,3.60131597186095,-2.81332833899805,-2.81332833899805,1.01692856570151,2.91354609091833,1.0753014010907,3.5363457571338,3.39014874837506
gene-LOC117224043,4.9740227566845,0.696837768682942,-2.81332833899805,1.82855865704425,1.77981646553029,1.11140866979995,4.95691687813495,-2.81332833899805,-2.81332833899805,2.4667825339403,5.0724041732027,1.0753014010907,5.10636731267333,1.21171002233744
gene-LOC117224040,-2.81332833899805,3.06617894821268,4.45200671466196,4.53571440410574,3.85613619044502,4.51780732696844,-2.81332833899805,3.32366113287055,4.36995911682354,4.0022470273707,-2.81332833899805,4.06810591855886,-1.16862411898254,3.07783030898207
gene-LOC117224041,7.53799765239857,3.06617894821268,4.04316068530486,3.33649557452739,0.888455334994212,4.1086877888854,7.69220683028537,1.15141959652673,2.12386181828631,1.01692856570151,7.59247593623282,1.97961174318594,7.96658123325478,3.07783030898207
gene-LOC117224044,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117224045,6.59719958437717,7.50014163715516,8.39634086195886,7.85193576890742,8.31007014630745,8.49343806037651,6.84197807702722,9.32739994502459,8.2389221658698,9.47605305830999,6.64326400300805,9.64890201840758,6.65125180529413,8.40504962564561
gene-LOC117224048,7.39017178899978,4.76880914043179,6.52511373270557,5.5268790684252,5.98613607766025,5.72996950468302,7.591790295851,6.28762622956594,5.1273407594104,5.34030389549286,8.2745857011005,6.12740892495398,8.32336765374834,5.791109289145
