	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117218167	296.285851908976	4.04670193783884	9.00144071965789	4.90947774561496	9.46555619183392	5.65619749565978	255.543421139908	1.94590150692027	8.15740177859851	1.74907433634376	322.647398665822	5.49670131299606	326.209301723989	8.16129992682536
gene-LOC117218169	52.017163873948	0	0	0	0	1.88539916521993	54.7104559086332	3.89180301384053	0	0	60.9237862605984	0	49.394468399847	0
gene-LOC117218168	100.610000345536	16.1868077513554	5.40086443179474	16.3649258187165	4.73277809591696	3.77079833043985	100.302502499161	17.5131135622824	10.1967522232481	12.2435203544063	105.269671497905	20.1545714809855	84.9996477047367	14.2822748719444
gene-LOC117218170	50.2234685679498	31.0247148567644	36.0057628786316	45.8217922924063	37.8622247673357	41.4787816348384	39.8930407667117	44.7557346591661	44.8657097822918	41.9777840722502	51.3914931722054	45.8058442749671	46.1015038398572	42.8468246158331
gene-LOC117218172	12.8819935612598	74.1895355270454	55.8089324618789	62.1867181111229	77.3020422333104	54.6765757913779	13.6776139771583	87.565567811412	81.5740177859851	75.2101964627816	16.5779010232921	97.1083898629304	12.9660479549598	69.3710493780156
gene-LOC117218192	152.953290638756	205.032898183835	176.428238105295	227.47246888016	212.975014316263	245.10189147859	130.393253248909	252.967195899635	240.643352468656	255.364853106189	148.579437921255	210.706883664849	143.449768644556	201.992173188928
gene-LOC117218193	75.4982660615608	698.730534600173	685.909782837932	778.970468970908	790.373942018133	701.368489461812	93.6916557435343	737.496671122781	789.228622079406	902.522357553379	78.3305823350551	837.330833346399	66.6825323397934	540.68612015218
gene-Trnal-cag-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Trnal-cag-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218242	142.354182012403	0	1.80028814393158	0	0	0	422.410311661239	0	2.03935044464963	0	169.716261725953	0	142.626527504558	0
gene-LOC117218241	188.174943920175	4.04670193783884	0	0	7.88796349319494	0	235.02700017417	0	2.03935044464963	0	305.240602591365	0	256.439615109206	0
gene-LOC117218243	19.2414587370717	1.34890064594628	3.60057628786316	0	1.57759269863899	0	26.2154267895534	1.94590150692027	0	0	16.9923485488744	0	21.8158902099324	4.08064996341268
gene-LOC117218194	34.0802108139659	0	0	0	0	0	49.4673705507225	1.94590150692027	0	1.74907433634376	58.6443248698957	0	58.0385003698202	0
gene-LOC117218195	609.693340829754	0	0	0	3.15518539727797	0	590.644963580286	0	0	1.74907433634376	686.739549889874	1.83223377099869	811.921574322485	0
gene-LOC117218196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218197	360.695819715275	68.7939329432603	102.6164242041	85.097614257326	119.897045096563	62.2181724522576	295.208501673667	215.99506726815	110.12492401108	134.678723898469	306.483945168112	179.558909557871	306.451514364051	75.4920243231346
gene-LOC117218198	76.3135821097418	59.3516284216363	90.0144071965789	93.2800771666843	69.4140787401154	99.9261557566561	74.0870757096074	60.3229467145282	83.6133682306347	89.2027911535317	82.2678338280869	91.6116885499343	73.268461459773	81.6129992682536
gene-Trnas-gcu	0	4.04670193783884	0	0	1.57759269863899	0	0	0	0	0	0	0	0	2.04032498170634
gene-LOC117218217	0.978379257817203	0	0	0	0	0	1.82368186362111	0	0	0	0.828895051164604	0	2.26391313499299	0
gene-LOC117218178	0.652252838544802	0	0	0	0	0	0.455920465905277	0	0	0	1.45056633953806	0	1.6464822799949	0
